publication_year,story_sequence,title,story_year,notes,story_type,detailed_story_type,book_type,main_location
1949,41,Biggles Takes a Holiday,1949,,Adventure,Rescue,novel,South America
1949,42,Biggles Breaks the Silence,1949,Refurbished Wellington bombers,Adventure,Treasure-hunt,novel,Antarctica
1950,43,Biggles Gets his Men,1950,,Detective,,novel,China
1951,44,Another Job for Biggles,1951,,Detective,,novel,Arabia
1951,45,Biggles Works It Out,1951,,Detective,,novel,Sahara Desert
1952,46,Biggles Takes the Case,1952,,Detective,,stories,Various
1952,47,Biggles Follows On,1952,,Secret agent,Cold war,novel,Prague
1950,48,Biggles - Air Detective,1952,,Detective,,stories,England
1953,49,Biggles and the Black Raider,1953,,Detective,,novel,Central Africa
1953,50,Biggles in the Blue,1953,,Secret agent,Cold war,novel,Caribbean
1953,51,Biggles in the Gobi,1953,,Secret agent,Cold war,novel,Gobi desert
1953,52,Biggles of the Special Air Police,1953,,Detective,,stories,Various
1954,53,Biggles Cuts It Fine,1954,,Secret agent,Cold war,novel,Indian Ocean
1954,54,Biggles and the Pirate Treasure,1954,Biggles definitely a detective but many of the stories are throw-backs to the adventure genre,Detective,,stories,Various
1954,55,Biggles Foreign Legionnaire,1954,,Detective,,novel,Sahara Desert
1955,56,Biggles in Australia,1955,First giant squid attack...,Secret agent,Cold war,novel,Australia
1955,57,Biggles' Chinese Puzzle,1955,,Detective,,stories,Various
1956,58,No Rest for Biggles,1956,,Secret agent,Cold war,novel,Liberia
1956,59,Biggles Takes Charge,1956,,Secret agent,Cold war,novel,Moldavia
1957,60,Biggles Makes Ends Meet,1957,,Detective,,novel,Indian Ocean
1957,61,Biggles of the Interpol,1957,,Detective,,stories,Various
1957,62,Biggles on the Home Front,1957,,Detective,,novel,England
1958,63,Biggles Presses On,1958,,Detective,,stories,Various
1958,64,Biggles on Mystery Island,1958,,Detective,,novel,Central Pacific
1958,65,Biggles Buries a Hatchet,1958,,Secret agent,Cold war,novel,Sakhalin
1959,66,Biggles in Mexico,1959,,Detective,,novel,Mexico
1959,67,Biggles' Combined Operation,1959,,Detective,,novel,Greece
1959,68,Biggles at World's End,1959,,Adventure,Treasure-hunt,novel,Chile
1960,69,Biggles and the Leopards of Zinn,1960,,Detective,,novel,Central Africa
1960,70,Biggles Goes Home,1960,,Adventure,Rescue,novel,North East India
1961,71,Biggles and the Poor Rich Boy,1961,,Adventure,Rescue,novel,Scotland
1961,72,Biggles Forms a Syndicate,1961,,Adventure,Treasure-hunt,novel,Arabia
1961,73,Biggles and the Missing Millionaire,1961,,Secret agent,Cold war,novel,Caribbean
1962,74,Biggles Goes Alone,1962,,Detective,,novel,England
1962,75,Orchids for Biggles,1962,,Secret agent,Cold war,novel,Peru
1962,76,Biggles Sets a Trap,1962,,Detective,,novel,England
1963,77,Biggles Takes it Rough,1963,,Detective,,novel,Scotland
1963,78,Biggles Takes a hand,1963,,Secret agent,Cold war,novel,England
1963,79,Biggles' Special Case,1963,,Secret agent,Cold war,novel,Middle East
1963,80,Biggles and the Plane That Disappeared,1963,,Detective,,novel,England
1963,81,Biggles Flies to Work,1963,,Detective,,stories,Various
1964,82,Biggles and the Lost Sovereigns,1964,,Adventure,Treasure-hunt,novel,"Mergui Archipelago, Burma"
1964,83,Biggles and the Black Mask,1964,,Detective,,novel,England
1965,84,Biggles Investigates,1965,,Detective,,stories,Various
1965,85,Biggles and the Plot that Failed,1965,,Adventure,Rescue,novel,Sahara Desert
1965,86,Biggles Looks Back,1965,,Secret agent,Cold war,novel,Czechoslovakia
1965,87,Biggles and the Blue Moon,1965,,Adventure,Treasure-hunt,novel,Malaysia
1965,88,Biggles Scores a Bull,1965,,Detective,,novel,England
1966,89,Biggles in the Terai,1966,,Adventure,Rescue,novel,Nepal
1966,90,Biggles and the Gun Runners,1966,,Detective,,novel,Central Africa
1967,91,Biggles Sorts It Out,1967,,Detective,,novel,Kalahari
1967,92,Biggles and the Dark Intruder,1967,,Detective,,novel,England
1967,93,Biggles and the Penitent Thief,1967,,Adventure,Treasure-hunt,novel,Canada
1968,94,Biggles and the Deep Blue Sea,1968,Features *2* giant squid attacks,Detective,,novel,Indian Ocean
1968,95,Biggles in the Underworld,1968,,Detective,,novel,England
1969,96,Biggles and the Little Green God,1969,,Detective,,novel,Chile
1969,97,Biggles and the Noble Lord,1969,,Detective,,novel,England
1970,98,Biggles Sees Too Much,1970,,Detective,,novel,England
1997,99,Biggles Does some Homework,1971,,Detective,,novel,England
